"Compound","Assays"
"LSM-33509","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33510","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33511","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33512","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33513","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33514","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33515","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33517","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33518","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33519","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33520","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33521","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33522","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33524","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33526","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33527","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33528","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33529","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33530","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33531","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33533","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33534","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33536","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33537","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33538","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33542","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33544","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33545","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33547","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33549","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33551","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33552","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33553","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33554","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33555","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33557","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33558","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33559","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33561","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33562","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33564","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33565","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33566","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33567","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33568","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33569","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33570","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33571","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33572","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33573","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33574","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33575","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33578","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33579","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33580","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33581","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33582","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33583","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33584","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33585","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33587","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33588","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33589","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33590","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33591","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33592","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33593","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33594","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33595","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33596","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33597","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33598","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33599","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33600","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33601","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33602","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33603","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33605","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33606","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33607","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33608","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33610","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33612","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33613","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33614","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33615","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33616","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33617","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33619","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33620","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33621","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33622","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33623","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33625","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33626","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33627","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33628","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33629","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33630","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33631","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33632","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33634","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33635","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33636","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33639","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33640","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33642","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33644","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33645","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33646","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33652","Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-33657","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33659","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33660","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33661","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33662","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33663","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33664","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33665","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33666","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33667","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33668","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33669","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33670","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33671","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33672","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33673","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33674","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33675","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33676","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33677","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33678","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33679","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33680","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33681","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33682","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33683","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33684","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33685","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33686","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33687","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33688","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33689","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33690","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33691","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33692","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33693","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33694","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33695","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33696","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33697","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33698","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33699","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33700","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33701","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33702","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33703","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33704","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33705","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33706","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33707","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33708","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33709","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33710","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33711","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33712","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33713","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33714","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33715","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33716","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33717","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33718","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33719","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33721","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33722","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33723","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33724","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33725","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33726","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33727","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33728","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33729","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33730","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33731","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33732","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33733","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33734","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33735","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33736","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33737","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33738","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33739","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33740","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33741","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33742","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33743","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33744","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33745","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33746","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33747","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33748","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33749","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33750","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33751","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33752","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33753","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33754","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33755","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33756","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33757","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33758","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33759","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33760","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33761","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33762","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33763","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33764","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33765","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33766","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33767","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33768","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33769","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33770","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33771","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33772","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33773","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33774","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33775","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33776","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33777","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33778","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33779","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33780","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33781","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33782","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33783","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33784","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33785","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33786","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33787","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33788","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33789","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33790","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33791","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33792","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33793","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33794","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33795","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33796","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33797","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33798","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33799","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33800","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33801","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33802","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33803","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33804","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33805","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33806","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33807","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33808","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33809","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33810","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33811","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33812","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33813","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33814","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33815","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33816","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33817","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33818","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33819","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33820","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33821","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33822","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33823","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33824","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33825","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33826","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33827","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33828","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33829","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33830","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33831","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33832","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33833","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33834","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33835","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33836","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33837","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33838","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33839","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33840","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33841","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33842","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33843","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33844","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33845","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33846","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33847","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33848","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33849","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
"LSM-33850","Fluorescence imaging multiplex cytological profiling assay##L1000 mRNA profiling assay"
