"Compound","Assays"
"LSM-2850","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4396","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1158","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-2662","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1094","L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-3988","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1073","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-5970","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KiNativ kinase-small molecule binding assay##KINOMEscan kinase-small molecule binding assay"
"LSM-2239","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-3493","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4061","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1120","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1061","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-5305","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
